epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,53.1447,0.70336,1.09289,1.0278,0.76326,0.80257,0.79967,0.65879,0.68109,0.92032,0.98591,0.000553417,0.000553417,0.000553417
2,103.703,0.80033,0.80252,1.04785,0.78256,0.68842,0.77691,0.62474,0.73013,0.9174,1.02092,0.0010981,0.0010981,0.0010981
3,153.288,0.77929,0.74709,1.04768,0.85678,0.78308,0.85826,0.6895,0.73162,0.8074,0.98654,0.00163179,0.00163179,0.00163179
4,203.113,0.784,0.72119,1.04224,0.90418,0.84418,0.90707,0.75057,0.6648,0.58519,0.95161,0.00161749,0.00161749,0.00161749
5,252.754,0.72523,0.64256,1.02018,0.87905,0.81326,0.87142,0.73029,0.62767,0.63775,0.93572,0.00160099,0.00160099,0.00160099
6,302.033,0.69181,0.59458,0.99762,0.91335,0.85857,0.92171,0.7685,0.61651,0.52062,0.94122,0.00158448,0.00158448,0.00158448
7,351.55,0.66987,0.57376,0.98941,0.94303,0.89654,0.93624,0.79686,0.56281,0.44357,0.91782,0.00156798,0.00156798,0.00156798
8,400.958,0.65563,0.55135,0.97925,0.92391,0.9084,0.93151,0.80977,0.54353,0.50016,0.89618,0.00155148,0.00155148,0.00155148
9,450.626,0.63203,0.52505,0.97023,0.91927,0.9206,0.94628,0.81672,0.53216,0.43113,0.90796,0.00153497,0.00153497,0.00153497
10,500.259,0.62221,0.50798,0.96182,0.95495,0.89696,0.94889,0.82151,0.53142,0.40252,0.89333,0.00151847,0.00151847,0.00151847
11,549.336,0.60612,0.49488,0.95529,0.92821,0.8968,0.93576,0.82917,0.49454,0.42661,0.89048,0.00150197,0.00150197,0.00150197
12,598.63,0.61204,0.48828,0.95864,0.94496,0.90373,0.95807,0.84323,0.49132,0.37569,0.87694,0.00148546,0.00148546,0.00148546
13,647.818,0.58742,0.46546,0.94693,0.95139,0.90474,0.94989,0.82095,0.53625,0.44888,0.88981,0.00146896,0.00146896,0.00146896
14,697.157,0.5739,0.45995,0.94492,0.95268,0.90864,0.95133,0.84316,0.49808,0.37537,0.88636,0.00145246,0.00145246,0.00145246
15,746.494,0.56957,0.4536,0.94301,0.94849,0.90014,0.94725,0.82849,0.51262,0.49053,0.89156,0.00143595,0.00143595,0.00143595
16,795.738,0.5803,0.4489,0.9418,0.94406,0.89015,0.94336,0.82481,0.51424,0.4117,0.88792,0.00141945,0.00141945,0.00141945
17,845.263,0.56746,0.43661,0.94139,0.95575,0.9069,0.96516,0.84566,0.47469,0.34775,0.86846,0.00140295,0.00140295,0.00140295
18,894.574,0.55935,0.42627,0.93546,0.96342,0.92216,0.95605,0.84418,0.46846,0.35955,0.86627,0.00138644,0.00138644,0.00138644
